iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
LCA,North America,Saint Lucia,2020-11-03,84.0,0.0,3.0,,0.0,0.0,457.444,0.0,16.337,,0.0,0.0,,,,,,,,,,,,,,,,,,,183629.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.747
LIE,Europe,Liechtenstein,2020-11-03,607.0,56.0,27.714,3.0,0.0,0.286,15916.302,1468.39,726.703,78.664,0.0,7.492,,,,,,,,,,,,,,,,,,,38137.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.916
LKA,Asia,Sri Lanka,2020-11-03,11335.0,275.0,417.429,21.0,0.0,0.714,529.345,12.843,19.494,0.981,0.0,0.033,,,,,,,,,,,,,,,,,,,21413250.0,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.77
LSO,Africa,Lesotho,2020-11-03,1953.0,6.0,1.429,44.0,1.0,0.143,911.657,2.801,0.667,20.539,0.467,0.067,,,,,,,,,,,,,,,,,,,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.52
LTU,Europe,Lithuania,2020-11-03,16556.0,837.0,801.0,170.0,4.0,4.857,6081.642,307.462,294.237,62.447,1.469,1.784,,,,,,,,,1038164.0,,381.357,,10545.0,3.874,13.165,0.076,samples tested,,2722291.0,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.858
LUX,Europe,Luxembourg,2020-11-03,19101.0,319.0,671.714,160.0,0.0,1.857,30513.949,509.604,1073.067,255.601,0.0,2.967,,,,,,,,,,,,,,,,,,,625976.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.904
LVA,Europe,Latvia,2020-11-03,6268.0,132.0,215.857,77.0,3.0,2.429,3323.08,69.982,114.44,40.823,1.59,1.288,,,,,,,,,465644.0,5235.0,246.869,2.775,4903.0,2.599,22.714000000000002,0.044000000000000004,tests performed,,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.847
MAR,Africa,Morocco,2020-11-03,225070.0,2526.0,3617.857,3826.0,64.0,64.714,6097.713,68.436,98.017,103.656,1.734,1.753,,,,,,,,,,,,,,,,,,,36910558.0,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.667
MCO,Europe,Monaco,2020-11-03,375.0,9.0,9.286,1.0,0.0,0.0,9555.601,229.334,236.615,25.482,0.0,0.0,,,,,,,,,,,,,,,,,,,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,
MDA,Europe,Moldova,2020-11-03,76777.0,195.0,709.429,1818.0,18.0,16.857,19032.649,48.34,175.864,450.673,4.462,4.179,,,,,,,,,,,,,,,,,,,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.7
MDG,Africa,Madagascar,2020-11-03,17111.0,0.0,20.429,244.0,0.0,0.0,617.926,0.0,0.738,8.812,0.0,0.0,,,,,,,,,,,,,,,,,,,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.519
MDV,Asia,Maldives,2020-11-03,11737.0,36.0,29.286,38.0,0.0,0.143,21713.391,66.6,54.178,70.3,0.0,0.264,,,,,,,,,,,,,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.717
MEX,North America,Mexico,2020-11-03,933155.0,3763.0,5404.143,92100.0,205.0,418.429,7237.533,29.186,41.914,714.326,1.59,3.245,,,,,,,,,,,,,,,,,,,128932753.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.774
MHL,Oceania,Marshall Islands,2020-11-03,2.0,0.0,,,0.0,,33.787,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,59194.0,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.708
MKD,Europe,Macedonia,2020-11-03,32997.0,561.0,828.286,1025.0,21.0,13.143,15838.205,269.274,397.568,491.989,10.08,6.308,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.757
MLI,Africa,Mali,2020-11-03,3573.0,28.0,10.571,136.0,0.0,0.429,176.437,1.383,0.522,6.716,0.0,0.021,,,,,,,,,,,,,,,,,,,20250834.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.427
MLT,Europe,Malta,2020-11-03,6400.0,218.0,117.571,64.0,0.0,2.0,14494.756,493.728,266.276,144.948,0.0,4.53,,,,,,,,,,,,,,,,,,,441539.0,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.878
MMR,Asia,Myanmar,2020-11-03,54607.0,1202.0,1201.0,1282.0,24.0,22.857,1003.624,22.092,22.073,23.562,0.441,0.42,,,,,,,,,,,,,,,,,,,54409794.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.578
MNE,Europe,Montenegro,2020-11-03,19210.0,496.0,328.714,320.0,7.0,7.143,30586.152,789.731,523.379,509.504,11.145,11.373,,,,,,,,,,,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.814
MNG,Asia,Mongolia,2020-11-03,350.0,1.0,1.429,,0.0,0.0,106.763,0.305,0.436,,0.0,0.0,,,,,,,,,,,,,,,,,,,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.741
MNP,Oceania,Northern Mariana Islands,2020-11-03,96.0,0.0,0.571,2.0,0.0,0.0,1667.912,0.0,9.928,34.748,0.0,0.0,,,,,,,,,,,,,,,,,,,57557.0,119.878,,,,,,194.994,,,,,,76.74,
MOZ,Africa,Mozambique,2020-11-03,13130.0,142.0,138.429,94.0,1.0,0.857,420.087,4.543,4.429,3.007,0.032,0.027,,,,,,,,,,,,,,,,,,,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.437
MRT,Africa,Mauritania,2020-11-03,7725.0,8.0,8.857,163.0,0.0,0.0,1661.412,1.721,1.905,35.056,0.0,0.0,,,,,,,,,,,,,,,,,,,4649660.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.52
MSR,North America,Montserrat,2020-11-03,13.0,0.0,0.0,1.0,0.0,0.0,2600.52,0.0,0.0,200.04,0.0,0.0,,,,,,,,,,,,,,,,,,,4999.0,,,,,,,,,,,,,74.16,
MUS,Africa,Mauritius,2020-11-03,451.0,5.0,1.714,10.0,0.0,0.0,354.625,3.932,1.348,7.863,0.0,0.0,,,,,,,,,,,,,,,,,,,1271767.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.79
MWI,Africa,Malawi,2020-11-03,5933.0,1.0,5.571,184.0,0.0,0.143,310.142,0.052,0.291,9.618,0.0,0.007,,,,,,,,,,,,,,,,,,,19129955.0,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.477
MYS,Asia,Malaysia,2020-11-03,33339.0,834.0,790.571,251.0,2.0,2.143,1030.062,25.768,24.426,7.755,0.062,0.066,,,,,,,,,,,,,,,,,,,32365998.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.802
NAM,Africa,Namibia,2020-11-03,13012.0,24.0,48.143,133.0,0.0,0.0,5120.988,9.445,18.947,52.343,0.0,0.0,,,,,,,,,,,,,,,,,,,2540916.0,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.647
NCL,Oceania,New Caledonia,2020-11-03,28.0,0.0,0.143,,0.0,0.0,98.077,0.0,0.5,,0.0,0.0,,,,,,,,,,,,,,,,,,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,
NER,Africa,Niger,2020-11-03,1222.0,1.0,1.0,69.0,0.0,0.0,50.482,0.041,0.041,2.85,0.0,0.0,,,,,,,,,,,,,,,,,,,24206636.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.354
NGA,Africa,Nigeria,2020-11-03,63036.0,72.0,132.143,1147.0,1.0,2.143,305.793,0.349,0.641,5.564,0.005,0.01,,,,,,,,,,,,,,,,,,,206139587.0,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.532
NIC,North America,Nicaragua,2020-11-03,5514.0,0.0,11.429,156.0,0.0,0.143,832.358,0.0,1.725,23.549,0.0,0.022,,,,,,,,,,,,,,,,,,,6624554.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.658
NLD,Europe,Netherlands,2020-11-03,367715.0,8278.0,9495.143,7453.0,29.0,55.857,21460.036,483.108,554.141,434.961,1.692,3.26,,,,,,,,,,,,,,,,,,,17134873.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.931
NOR,Europe,Norway,2020-11-03,20634.0,1071.0,389.429,282.0,0.0,0.429,3806.139,197.556,71.834,52.018,0.0,0.079,,,,,,,,,,,,,,,,,,,5421242.0,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.953
NPL,Asia,Nepal,2020-11-03,176500.0,2933.0,2381.429,984.0,24.0,17.429,6057.63,100.663,81.733,33.772,0.824,0.598,,,,,,,,,,,,,,,,,,,29136808.0,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.574
NZL,Oceania,New Zealand,2020-11-03,1612.0,5.0,3.857,25.0,0.0,0.0,334.285,1.037,0.8,5.184,0.0,0.0,,,,,,,,,,,,,,,,,,,4822233.0,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.917
OMN,Asia,Oman,2020-11-03,116152.0,418.0,399.714,1256.0,10.0,9.429,22745.369,81.855,78.274,245.955,1.958,1.846,,,,,,,,,,,,,,,,,,,5106622.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.821
PAK,Asia,Pakistan,2020-11-03,336260.0,1167.0,983.571,6849.0,14.0,14.857,1522.28,5.283,4.453,31.006,0.063,0.067,,,,,,,,,4514827.0,27984.0,20.439,0.127,28164.0,0.128,28.634,0.035,tests performed,,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
PAN,North America,Panama,2020-11-03,134915.0,579.0,737.714,2720.0,14.0,11.714,31268.193,134.19,170.974,630.393,3.245,2.715,,,,,,,,,,,,,,,,,,,4314768.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.789
PER,South America,Peru,2020-11-03,906545.0,1634.0,2281.571,34585.0,56.0,55.429,27494.518,49.557,69.198,1048.925,1.698,1.681,,,,,,,,,,,,,,,,,,,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
PHL,Asia,Philippines,2020-11-03,385400.0,2287.0,1967.143,7269.0,31.0,32.857,3517.03,20.87,17.951,66.334,0.283,0.3,,,,,,,,,,,,,,,,,,,109581085.0,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.699
PNG,Oceania,Papua New Guinea,2020-11-03,590.0,0.0,0.286,7.0,0.0,0.0,65.944,0.0,0.032,0.782,0.0,0.0,,,,,,,,,,,,,,,,,,,8947027.0,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.544
POL,Europe,Poland,2020-11-03,395480.0,15578.0,18793.0,5875.0,92.0,198.857,10449.55,411.609,496.557,155.232,2.431,5.254,,,,,,,,,,,,,,,,,,,37846605.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.865
PRI,North America,Puerto Rico,2020-11-03,68172.0,1511.0,721.429,839.0,7.0,5.0,23829.365,528.167,252.174,293.271,2.447,1.748,,,,,,,,,,,,,,,,,,,2860840.0,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,
PRT,Europe,Portugal,2020-11-03,146847.0,2506.0,3673.429,2590.0,46.0,35.286,14401.414,245.766,360.256,254.004,4.511,3.461,,,,,,,,,,,,,,,,,,,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.847
PRY,South America,Paraguay,2020-11-03,64156.0,425.0,651.714,1429.0,11.0,17.143,8994.845,59.586,91.372,200.35,1.542,2.403,,,,,,,,,,,,,,,,,,,7132530.0,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.702
PSE,Asia,Palestine,2020-11-03,66551.0,749.0,643.571,565.0,4.0,6.714,13045.594,146.822,126.155,110.754,0.784,1.316,,,,,,,,,,,,,,,,,,,5101416.0,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.686
PYF,Oceania,French Polynesia,2020-11-03,7262.0,0.0,200.429,29.0,0.0,1.286,25852.248,0.0,713.513,103.238,0.0,4.577,,,,,,,,,,,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,
QAT,Asia,Qatar,2020-11-03,132917.0,197.0,212.143,232.0,0.0,0.286,46134.756,68.378,73.634,80.526,0.0,0.099,,,,,,,,,,,,,,,,,,,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.856
