iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
USA,North America,United States,2020-11-03,9291245.0,83883.0,83817.286,231551.0,555.0,830.857,28070.002,253.421,253.222,699.544,1.677,2.51,,,,,,,,,,,,,,,,,,,331002647.0,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.924
UZB,Asia,Uzbekistan,2020-11-03,67254.0,98.0,212.714,571.0,1.0,2.429,2009.43,2.928,6.356,17.06,0.03,0.073,,,,,,,,,,,,,,,,,,,33469199.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.71
VAT,Europe,Vatican,2020-11-03,26.0,0.0,0.0,,0.0,0.0,32138.443,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
VCT,North America,Saint Vincent and the Grenadines,2020-11-03,75.0,0.0,0.286,,0.0,0.0,675.998,0.0,2.575,,0.0,0.0,,,,,,,,,,,,,,,,,,,110947.0,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.723
VEN,South America,Venezuela,2020-11-03,92705.0,380.0,379.714,805.0,4.0,4.0,3260.135,13.363,13.353,28.309,0.141,0.141,,,,,,,,,,,,,,,,,,,28435943.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.761
VGB,North America,British Virgin Islands,2020-11-03,72.0,0.0,0.0,1.0,0.0,0.0,2381.189,0.0,0.0,33.072,0.0,0.0,,,,,,,,,,,,,,,,,,,30237.0,207.973,,,,,,,13.67,,,,,79.07,
VIR,North America,United States Virgin Islands,2020-11-03,1378.0,2.0,4.286,21.0,0.0,0.0,13196.326,19.153,41.042,201.105,0.0,0.0,,,,,,,,,,,,,,,,,,,104423.0,306.48,42.2,18.601,10.799,,,273.67,12.26,,,,,80.58,
VNM,Asia,Vietnam,2020-11-03,1192.0,12.0,3.286,35.0,0.0,0.0,12.246,0.123,0.034,0.36,0.0,0.0,,,,,,,,,,,,,,,,,,,97338583.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.694
WLF,Oceania,Wallis and Futuna,2020-11-03,1.0,0.0,0.0,,0.0,0.0,88.921,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,11246.0,,,,,,,,,,,,,79.94,
OWID_KOS,Europe,Kosovo,2020-11-03,20655.0,476.0,358.143,697.0,9.0,4.429,10686.712,246.278,185.3,360.622,4.657,2.291,,,,,,,,,,,,,,,,,,,1932774.0,168.155,,,,9795.834,0.6,,,,,,,,
YEM,Asia,Yemen,2020-11-03,2063.0,0.0,0.0,600.0,0.0,0.143,69.168,0.0,0.0,20.117,0.0,0.005,,,,,,,,,,,,,,,,,,,29825968.0,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.452
ZAF,Africa,South Africa,2020-11-03,727595.0,772.0,1548.0,19465.0,54.0,65.286,12267.932,13.017,26.101,328.198,0.91,1.101,,,,,,,,,,,,,,,,,,,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.699
ZMB,Africa,Zambia,2020-11-03,16543.0,63.0,49.0,349.0,0.0,0.143,899.861,3.427,2.665,18.984,0.0,0.008,,,,,,,,,275011.0,4715.0,14.959,0.256,4819.0,0.262,98.34700000000001,0.01,tests performed,,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.588
ZWE,Africa,Zimbabwe,2020-11-03,8389.0,15.0,12.286,245.0,2.0,0.429,564.424,1.009,0.827,16.484,0.135,0.029,,,,,,,,,,,,,,,,,,,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.535
OWID_WRL,,World,2020-11-03,47093222.0,434586.0,492851.0,1207290.0,5654.0,6598.0,6041.621,55.753,63.228,154.884,0.725,0.846,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
